Count;Date;Time;Sex;Age
1;2020-11-21;09:16;M;16
1;2020-11-21;09:18;M;26
2;2020-11-21;11:19;M;36
1;2020-11-21;11:19;M;54
1;2020-11-21;11:19;M;29
1;2020-11-21;11:19;M;42
1;2020-11-21;11:19;M;33
1;2020-11-21;11:19;M;18
1;2020-11-21;11:19;M;60
1;2020-11-21;11:19;M;53
1;2020-11-21;11:47;M;48
1;2020-11-21;11:48;M;56
1;2020-11-21;11:48;M;39
1;2020-11-21;11:48;M;57
1;2020-11-21;11:48;M;36
1;2020-11-21;11:48;M;28
1;2020-11-21;11:49;M;35
1;2020-11-21;11:49;M;53
1;2020-11-21;11:49;M;18
1;2020-11-21;11:49;M;57
1;2020-11-21;11:50;M;36
1;2020-11-21;11:50;M;55
1;2020-11-21;11:50;M;36
1;2020-11-21;11:50;M;15
1;2020-11-21;11:50;M;37
1;2020-11-21;11:53;M;57
1;2020-11-21;11:54;M;21
1;2020-11-21;11:54;M;39
